Year,Level of institution,Type of aid awarded,Family income level,Public Average cost of attendance,Public Average grant/scholarship aid,Public Net price,Private Nonprofit Average cost of attendance,Private Nonprofit Average grant/scholarship aid,Private Nonprofit Net price,Private For-profit Average cost of attendance,Private For-profit Average grant/scholarship aid,Private For-profit Net price
20-21,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",19694.93333333,5070,14624.93333333,25154.25,6189,18965.25,32505.2,5727.909090909999,26777.29090909
20-21,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",19694.93333333,3192.77777778,16502.15555556,25154.25,3650.5,21503.75,32505.2,3839,28666.2
20-21,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",19694.93333333,2914.16666667,16780.76666667,25154.25,0,25154.25,32505.2,1432,31073.2
20-21,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",19694.93333333,2560,17134.93333333,25154.25,0,25154.25,32505.2,620.25,31884.95
21-22,4-year,Students awarded any grant aid,All family income levels,21240,8089,13151,45120,21711,23409,33215,6787,26427
21-22,4-year,Students awarded Title IV aid,All family income levels,21361,8376,12985,45141,22475,22666,33436,6338,27098
21-22,4-year,Students awarded Title IV aid,"$0-30,000",21361,12004,9357,45141,27828,17313,33436,7511,25925
21-22,4-year,Students awarded Title IV aid,"$30,001-48,000",21361,11035,10326,45141,28285,16856,33436,7700,25736
21-22,4-year,Students awarded Title IV aid,"$48,001-75,000",21361,8251,13110,45141,25753,19388,33436,6175,27262
21-22,4-year,Students awarded Title IV aid,"$75,001-110,000",21361,4879,16482,45141,22987,22153,33436,3788,29648
21-22,4-year,Students awarded Title IV aid,"$110,001 and more",21361,3060,18301,45141,19289,25852,33436,3206,30230
21-22,2-year,Students awarded any grant aid,All family income levels,13744,5697,8047,28530,7937,20593,28632,6155,22477
21-22,2-year,Students awarded Title IV aid,All family income levels,13925,6416,7509,28912,7624,21288,28458,5341,23117
21-22,2-year,Students awarded Title IV aid,"$0-30,000",13925,7628,6297,28912,9583,19329,28458,6337,22121
21-22,2-year,Students awarded Title IV aid,"$30,001-48,000",13925,7003,6922,28912,10026,18886,28458,5577,22881
21-22,2-year,Students awarded Title IV aid,"$48,001-75,000",13925,5105,8820,28912,8125,20787,28458,4366,24091
21-22,2-year,Students awarded Title IV aid,"$75,001-110,000",13925,3126,10799,28912,4916,23996,28458,1762,26695
21-22,2-year,Students awarded Title IV aid,"$110,001 and more",13925,1914,12010,28912,3555,25357,28458,721,27737
21-22,Less-than-2-year,Students awarded any grant aid,All family income levels,20490,6473,14017,24690,5212,19478,34508,5728,28780
21-22,Less-than-2-year,Students awarded Title IV aid,All family income levels,20188,6023,14165,24809,4989,19820,34135,5076,29058
21-22,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",20188,6491,13697,24809,4110,20699,34135,5558,28577
21-22,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",20188,5646,14542,24809,6183,18626,34135,5010,29125
21-22,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",20188,5341,14847,24809,3933,20876,34135,3740,30394
21-22,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",20188,4694,15494,24809,3205,21604,34135,886,33249
21-22,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",20188,2612,17576,24809,2494,22315,34135,255,33879
22-23,4-year,Students awarded any grant aid,All family income levels,21843,8645,13198,46668,22750,23918,34041,6972,27070
22-23,4-year,Students awarded Title IV aid,All family income levels,21948,8947,13001,46806,23690,23116,34109,6239,27870
22-23,4-year,Students awarded Title IV aid,"$0-30,000",21948,12672,9276,46806,29405,17401,34109,7528,26581
22-23,4-year,Students awarded Title IV aid,"$30,001-48,000",21948,11811,10137,46806,29385,17422,34109,7190,26918
22-23,4-year,Students awarded Title IV aid,"$48,001-75,000",21948,8965,12983,46806,27182,19625,34109,5729,28380
22-23,4-year,Students awarded Title IV aid,"$75,001-110,000",21948,5369,16579,46806,24184,22623,34109,3555,30554
22-23,4-year,Students awarded Title IV aid,"$110,001 and more",21948,3201,18747,46806,20270,26536,34109,3235,30874
22-23,2-year,Students awarded any grant aid,All family income levels,14276,6197,8079,30277,8203,22075,29881,6570,23311
22-23,2-year,Students awarded Title IV aid,All family income levels,14444,6929,7514,30235,8039,22196,29463,5773,23690
22-23,2-year,Students awarded Title IV aid,"$0-30,000",14444,8270,6174,30235,10016,20218,29463,7112,22351
22-23,2-year,Students awarded Title IV aid,"$30,001-48,000",14444,7643,6801,30235,10311,19924,29463,6625,22838
22-23,2-year,Students awarded Title IV aid,"$48,001-75,000",14444,5564,8879,30235,8174,22061,29463,4364,25098
22-23,2-year,Students awarded Title IV aid,"$75,001-110,000",14444,3359,11084,30235,7601,22634,29463,2001,27462
22-23,2-year,Students awarded Title IV aid,"$110,001 and more",14444,2045,12399,30235,4806,25429,29463,995,28467
22-23,Less-than-2-year,Students awarded any grant aid,All family income levels,22032,6058,15974,33453,8114,25339,32601,5533,27068
22-23,Less-than-2-year,Students awarded Title IV aid,All family income levels,23448,6776,16672,23769,3495,20275,32035,5514,26521
