Year,Level of institution,Control of institution,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
19-20,Total 2-year institutions (cohort year 2017),Total,Women,37.5,37,49.1,29.9,37.30000000000001,39.2,39.30000000000001,32.1,42.6,43.7
19-20,Total 2-year institutions (cohort year 2017),Public,Total,30.8,28.9,39.6,20.8,26.8,21.9,35.2,26,27,38.2
19-20,Total 2-year institutions (cohort year 2017),Public,Men,29.7,28.9,36.1,19.6,24,20.3,35,24.8,27.1,34.9
19-20,Total 2-year institutions (cohort year 2017),Public,Women,31.8,28.9,43.6,22.1,29.4,23.7,35.4,27.2,26.9,42
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Total,54.5,41.6,84.2,37.5,61.9,45.9,64.5,46.8,49.1,70.2
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Men,54.8,35.80000000000001,70.1,35.9,62.7,53.8,66.3,42.7,37.9,67.9
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Women,54.4,45.5,89.8,38.2,61.4,41.7,63.5,49,51.3,72.5
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Total,63.2,64.9,76.9,50.1,69,68.1,66.6,58.7,66.5,67.8
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Men,63.2,65,76.4,50.7,67.8,65,66.6,56.8,64.4,74.3
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Women,63.2,64.7,77.2,49.8,69.8,70.4,66.5,60.3,67.5,61.1
19-20,Less-than-2-year institutions (cohort year 2017),Total,Total,69.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-20,Less-than-2-year institutions (cohort year 2017),Public,Total,71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-20,Less-than-2-year institutions (cohort year 2017),Private nonprofit,Total,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-20,Less-than-2-year institutions (cohort year 2017),Private for-profit,Total,68.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-21,All 4-year institutions (cohort year 2015)2,Total,Total,60.91862939,38.20645031000001,75.43058636,41.731843579999996,53.80516849,48.900494779999995,65.33712223,56.84669623,52.8672563,69.99380788
20-21,All 4-year institutions (cohort year 2015)2,Total,Men,57.515154280000004,34.97904052,71.93428840000001,35.837517549999994,48.95373444999999,47.34328357999999,62.22663881000001,53.159975870000004,50.37369818,65.29832347000001
20-21,All 4-year institutions (cohort year 2015)2,Total,Women,63.75174136,40.682508490000004,78.52975305,46.05299885,57.44804723,50.229240960000006,67.97970726,59.671828059999996,55.07634416,75.64041746000001
20-21,All 4-year institutions (cohort year 2015)2,Public,Total,59.2865248,36.278484549999995,73.47430213999999,41.63994679,51.407764179999994,46.457399099999996,63.4171366,54.40591482000001,59.58206131,67.00361827
20-21,All 4-year institutions (cohort year 2015)2,Public,Men,55.867308910000006,33.38577722,69.73182884,35.43735093000001,46.323129540000004,44.27131072000001,60.26296278000001,50.766029880000005,56.287267629999995,63.011527949999994
20-21,All 4-year institutions (cohort year 2015)2,Public,Women,62.21222325,38.591194970000004,77.07755256,46.056130370000005,55.33908915999999,48.55136084,66.17853670999997,57.2710016,62.752045900000006,72.31385361000001
20-21,All 4-year institutions (cohort year 2015)2,Private nonprofit,Total,67.62927870999998,47.50747756999999,81.70011018000001,45.75706254999999,63.38145107999999,56.58436214,71.22195128000001,65.04932018000001,59.768973450000004,75.28478222999999
20-21,All 4-year institutions (cohort year 2015)2,Private nonprofit,Men,63.84379331,43.12138728,79.73720054000002,38.861834429999995,59.28630099000001,55.963302750000004,68.050915,61.002039780000004,55.46426562,70.1519337
20-21,All 4-year institutions (cohort year 2015)2,Private nonprofit,Women,70.65751442000001,50.832602980000004,83.10246135999999,51.34553283000001,66.26878156999999,57.08955224000001,73.77780248,67.95894052,63.50151264000001,80.64144144000001
20-21,All 4-year institutions (cohort year 2015)2,Private for-profit,Total,37.77282347,31.557377050000003,63.205192210000014,25.63009213,49.720105740000015,44.266055050000006,40.817809139999994,38.66004963,23.25868091,59.603035610000006
20-21,All 4-year institutions (cohort year 2015)2,Private for-profit,Men,37.05423254,27.091633469999998,63.05418718999999,25.371674490000004,47.19146366,44.59459459,41.218637990000005,40.352941179999995,23.522402289999995,50.29868578000001
20-21,All 4-year institutions (cohort year 2015)2,Private for-profit,Women,38.25919705,33.88773389,63.30814442,25.79478868,51.3109563,44.097222220000006,40.544550140000005,37.4248927,23.058866020000004,68.49315068000003
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Total,64.56924508000002,43.42681858,77.75885269999999,45.72686352,59.162665780000005,53.531329230000004,67.90903194,60.099857820000004,57.94121234000001,72.61771466000002
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Men,61.16245516000001,38.979591840000005,74.56494249,39.307499889999995,54.49001101,52.521334370000005,64.83890602,56.346183149999995,55.33677137,67.84552955000001
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Women,67.40760728000002,46.77419355,80.57789746,50.43801263000001,62.63485806,54.41576087,70.50965810999999,62.97832564000001,60.23488393,78.40860916000001
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Total,63.63861138000001,41.736863220000004,76.30404335,46.150316090000004,58.099156410000006,53.03643725,66.64916882,58.27703109,65.93281766000001,70.87150095
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Men,60.38728847999999,37.746478870000004,72.90930506000001,39.89538206,53.180003559999996,51.44578313,63.641961869999996,54.69007131000001,62.770803240000006,66.52649284999998
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Women,66.39136845,44.71288515,79.55226557,50.43310876,61.7771816,54.50500556,69.25714621,61.076152560000004,68.93316466000003,76.82372202999998
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Total,68.52486882,50.776583030000005,82.05506222999999,47.453862619999995,64.12992662,57.82997763,71.70367305,65.84144645,61.00366507,75.56703265
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Men,64.65616141,44.75138122,80.19598154999998,40.10790565,60.20676875,57.43073048,68.46254192,61.58221987,56.60167818,70.54784824000001
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Women,71.62514340999999,55.368421049999995,83.38130764,53.533340710000004,66.93388171,58.14889336,74.31046801,68.93241167000001,64.70771467000002,80.79646018000001
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Total,29.76411245,22.58064516,57.61024182,20.622119819999998,37.92213884000002,31.88405797,32.59519868000001,30.32608696,15.60863189,60.488245930000005
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Men,31.54399125,20.930232559999997,54.20560748,22.182821120000003,36.97967086,35.48387097,36.19067978,36.06911447,18.451242829999995,50.81300813
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Women,28.155888170000004,24,60.471204189999995,19.13857678,38.80800728,28.947368420000004,29.221821100000003,24.507658640000002,13.39052592,68.24104235
20-21,All 2-year institutions (cohort year 2018),Total,Total,36.34191734,35.627128260000006,45.35605637,28.87151392,33.7469818,32.114761679999994,39.477569259999996,31.197364970000002,41.24018769,41.67982318
20-21,All 2-year institutions (cohort year 2018),Total,Men,34.46781556,33.15182574999999,40.990697399999995,26.49908778,30.07471272,30,39.047040849999995,29.80677859,33.799606260000004,37.17129698
20-21,All 2-year institutions (cohort year 2018),Total,Women,38.0645667,37.59551707000001,50.159744409999995,30.833850330000004,36.864302190000004,34.076717220000006,39.905340820000006,32.44375044,46.70012165,46.79130874000001
20-21,All 2-year institutions (cohort year 2018),Public,Total,31.411537420000002,27.36842105,41.66812258000001,21.434347199999998,27.19956254,21.23893805,35.91499579,26.92663175,28.617203080000003,39.3982808
20-21,All 2-year institutions (cohort year 2018),Public,Men,30.226426959999998,26.55860349,38.00065125,20.0515132,24.274763710000002,20.621118010000004,35.721278520000006,25.776426139999998,26.890185960000004,34.89616111
20-21,All 2-year institutions (cohort year 2018),Public,Women,32.57186751999999,28.0595956,45.91375151,22.72617902,29.803729279999995,21.87902188,36.11276417,27.978096039999997,30.522689829999994,44.59165154
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Total,61.06219042000001,41.218637990000005,76.23574144,53.074295469999996,66.86346863,46.66666667,66.03902773,55.62310030000001,56.335754640000005,87.76371308000002
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Men,64.77356180999999,38.55421687,72.34042553,55.24296675,66.14310646000001,50,73.43373494000001,48.46153846,49.23076923000001,86.84210526000001
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Women,59.61152043,42.34693878,77.66233765999999,52.3497579,67.39130435,44.82758621,63.10377810000001,60.301507539999996,57.66283525000001,88.61788618
