year,state_or_jurisdiction,all_students_men,all_students_women,american_indian_or_alaska_native_men,american_indian_or_alaska_native_women,asian_men,asian_women,black_or_african_american_men,black_or_african_american_women,hispanic_or_latino_men,hispanic_or_latino_women,native_hawaiian_or_other_pacific_islander_men,native_hawaiian_or_other_pacific_islander_women,white_men,white_women,two_or_more_races_men,two_or_more_races_women,race_ethnicity_unknown_men,race_ethnicity_unknown_women,nonresident_men,nonresident_women
18-19,Hawaii,31452,48620,61,112,9892,14280,776,749,3300,6226,1621,2823,4940,7482,8102,13098,777,968,1983,2882
18-19,Idaho,78571,111364,522,857,1111,1678,1012,1019,6839,10903,361,477,52893,75379,3269,4556,6674,9532,5890,6963
18-19,Illinois,455345,602450,1005,1239,31042,35972,47961,84516,79447,115376,579,758,235682,299395,11880,15563,20787,27712,26962,21919
18-19,Indiana,253142,336951,676,917,8718,9210,21204,42023,16625,22799,369,463,172184,221946,8485,12100,8103,16859,16778,10634
18-19,Iowa,130364,155219,557,646,3865,4228,8236,8449,8634,10613,205,198,87890,112155,3115,4060,9050,9495,8812,5375
18-19,Kansas,130622,159141,1429,1820,4224,4522,11451,12325,12833,16272,350,330,79863,102256,4674,6089,7444,8729,8354,6798
18-19,Kentucky,142859,189297,305,413,2625,3266,10566,16478,4947,7058,114,182,96254,139966,3761,6165,9151,10092,15136,5677
18-19,Louisiana,117930,193440,723,1310,3289,4039,29654,67450,6463,10282,496,1066,63513,93001,3132,5294,5532,7196,5128,3802
18-19,Maine,37350,56492,280,452,895,1434,1655,1879,1071,1352,44,70,26743,41218,907,1268,4864,8021,891,798
18-19,Maryland,214118,266209,605,835,16673,17598,50575,79597,20659,23791,572,494,92365,106777,8474,10857,10785,12215,13410,14045
18-19,Massachusetts,266282,363838,454,715,20450,26925,20680,31930,25654,42994,209,331,133518,185034,7148,10630,19053,29762,39116,35517
18-19,Michigan,305864,382114,1507,2415,13401,14234,31037,53041,15908,20810,336,361,197505,246131,9542,13678,16721,16757,19907,14687
18-19,Minnesota,203513,351485,1409,2569,11384,17354,24799,58376,11493,20263,305,589,123925,204051,6661,11392,14090,28036,9447,8855
18-19,Mississippi,84240,132262,384,641,1307,1576,27129,53096,2339,3245,73,78,47741,67746,1514,2263,1640,2019,2113,1598
18-19,Missouri,199693,275360,873,1305,6863,8102,20567,35059,11728,14805,377,420,133382,187714,6579,9415,8047,9702,11277,8838
18-19,Montana,27571,34718,1938,3220,365,658,335,209,1023,1390,79,61,20222,25483,986,1256,1539,1850,1084,591
18-19,Nebraska,75585,99609,458,869,2484,2915,4245,5129,7372,10073,119,176,51017,69846,2198,3244,4001,4801,3691,2556
18-19,Nevada,66765,91892,418,712,6853,9265,4735,8081,16684,25884,690,918,27146,35364,5883,6099,3103,4226,1253,1343
18-19,New Hampshire,88228,144019,331,756,2223,2786,7890,18910,6703,11993,205,393,54521,85777,1861,3234,11832,18511,2662,1659
18-19,New Jersey,249322,305837,617,760,23340,24641,27783,48454,45019,67764,548,633,114334,124479,5704,7253,17708,20362,14269,11491
18-19,New Mexico,68335,100802,5843,9841,1450,1945,2446,2683,29607,47464,187,191,21344,30252,1535,2301,3634,4441,2289,1684
18-19,New York,684176,912748,2327,3273,66587,80512,81131,137477,111801,169246,1115,1484,311084,386586,16014,23411,34808,44776,59309,65983
18-19,North Carolina,290021,419581,2673,5027,11049,13222,53281,102311,23942,34916,406,549,164829,222006,8685,13905,12814,17003,12342,10642
18-19,North Dakota,30963,34665,1108,1890,461,468,1392,940,1263,1321,41,44,22627,26550,1047,1130,1131,1232,1893,1090
18-19,Ohio,367664,492536,1006,1323,11070,13755,38447,65799,15609,22746,333,471,249641,334913,11304,17446,19069,21012,21185,15071
18-19,Oklahoma,119980,156087,8245,12259,3842,4252,9110,12743,11799,16093,219,253,64604,84801,10011,14512,5527,6440,6623,4734
18-19,Oregon,146481,185676,1286,1962,7762,9877,4155,5223,17484,25403,878,1043,83171,109946,8034,10539,15743,15678,7968,6005
18-19,Pennsylvania,371923,496920,715,1038,20872,25898,36049,59953,25427,38326,383,459,228901,306786,10825,15422,18255,25131,30496,23907
18-19,Rhode Island,41571,55931,118,180,1702,2396,2966,4357,4911,7802,30,59,24436,31971,1348,2130,3600,4385,2460,2651
18-19,South Carolina,119592,180123,415,647,2447,3066,24037,49124,6359,8673,146,187,74595,104685,3864,5821,3749,5364,3980,2556
18-19,South Dakota,31099,41028,1316,2676,464,552,1480,1674,1219,1549,71,53,23371,31139,868,1196,882,1265,1428,924
18-19,Tennessee,172786,243606,509,706,4745,5653,26849,50655,8548,11496,208,265,116885,157377,5173,7507,4065,5683,5804,4264
18-19,Texas,931460,1282422,3358,4629,64123,72589,107247,181222,337353,497963,1567,1723,327183,426109,25774,36553,20435,26471,44420,35163
18-19,United States,11191940,15130680,70665,111529,738161,879730,1216756,2147264,1949421,2810680,30154,38566,5566000,7295002,386038,544268,592708,765331,642037,538310
18-19,Utah,209419,286404,1440,2214,5968,7629,8220,15962,21635,30394,1542,1777,149328,199921,7131,9758,8942,15027,5213,3722
18-19,Vermont,25224,31744,104,110,671,870,994,951,1442,1491,26,30,18265,23917,980,1367,1590,1893,1152,1115
18-19,Virginia,305448,411621,1062,1451,21153,23935,47953,85464,25717,35439,760,864,160699,207118,11786,16906,23013,29790,13305,10654
