year,level_of_institution,control_of_institution,gender,all_students,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_or_other_pacific_islander,white,two_or_more_races,race_ethnicity_unknown,nonresident,level_of_institution_footnote
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Women,61.64,66.08,77.25,48.78,66.89,63.17,65.54,55.94,64.48,69.74,
20-21,Less-than-2-year institutions (cohort year 2018),Total,Total,68.58,,,,,,,,,,
20-21,Less-than-2-year institutions (cohort year 2018),Public,Total,70.36,,,,,,,,,,
20-21,Less-than-2-year institutions (cohort year 2018),Private nonprofit,Total,72.56,,,,,,,,,,
20-21,Less-than-2-year institutions (cohort year 2018),Private for-profit,Total,68.11,,,,,,,,,,
21-22,All 4-year institutions1 (cohort year 2016),Total,Total,61.1,37.8,75.8,42.5,54.1,47.4,65.4,57,54,70.7,
21-22,All 4-year institutions1 (cohort year 2016),Total,Women,64.1,40.8,78.9,47.1,57.7,51.3,68.3,59.9,56.3,75.4,
21-22,All 4-year institutions1 (cohort year 2016),Total,Men,57.6,34,72.2,36.4,49.2,42.8,62.1,53.3,51.3,66.7,
21-22,All 4-year institutions1 (cohort year 2016),Public,Total,59.2,36.7,73.7,42.1,51.7,44.2,63.3,54.5,57.5,67.3,
21-22,All 4-year institutions1 (cohort year 2016),Public,Women,62.1,39.3,77,46.6,55.6,48.2,66.1,57.2,59.5,71.6,
21-22,All 4-year institutions1 (cohort year 2016),Public,Men,55.8,33.3,70.2,35.7,46.6,40,60,51,55.3,64.1,
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Total,67.8,42.2,82.2,46,63.3,56.1,71.5,65.9,58.5,76.5,
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Women,70.9,46,84,51.6,66.1,60.8,74.3,68.9,61.7,81.2,
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Men,63.8,37.6,79.5,39.1,59.3,50,68,61.7,54.6,72,
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Total,42.5,35.7,69.9,31.2,52.3,44.5,44.9,39.2,28.8,62.2,
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Women,43.7,39.9,70.8,32.4,54.3,45.1,45.1,40,28.2,68.5,
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Men,40.8,27.3,68.7,29.6,49.3,43.4,44.6,38.3,29.4,54,
